data,score,rating,bug_report,feature_request,user_experience
Utilisateur régulier de l'application j'ai vu les options fondre comme la neige au soleil et maintenant l'appli me force a lui laisser la possibilité de faire des appels... mmm on va s'arrêter là et désinstaller vraiment dommage,1,1,0,1,0
"Utilisée avec ma Gear Pro 2 puis désormais ma Galaxy watch: application ludique, utile et motivante, je recommande 🌟🌟🌟!",5,1,0,0,1
👍,4,1,0,0,0
Depuis la dernière mise à jour il dit impossible d'ouvrir sur un téléphone rooter. pourtant il est d'origine.....,1,0,1,0,0
L'application refuse de s'ouvrir en m'indiquant que mon S7 est rooté alors qu'il ne l'est pas.,1,0,1,0,0
Impossible de se connecter à l'application,1,0,1,0,0
Very good aply the health samsung,4,1,0,0,0
L'application l'application été génial mais après la dernière mise à jour beaucoup de fonctionnalités en été limité. Comme les courbes poids mensuelle ou hebdomadaire avec calcul de moyenne. Modifié les heures de sommeil pur le rectifier. Glycémie courbes aussi. Celui qui a validé cette mise à jour dois démissionner,1,0,0,1,0
"Inadmissible depuis la mise à jour l,application ne donne plus aucune information .nul",1,1,1,0,0
"Gros souci de gps. Celui-ci me trace des lignes droites à travers champs, lac ,etc. Je ne connais do.c pas.mes distances exactes effectuées lors de mes activités.",2,0,1,0,0
"Excellent. Quelques pb persistent sur sync avec Yasio, calcul de calories",5,1,1,0,0
"N'importe quoi!! D'où un simple podomètre a besoin de la main mise sur mon téléphone, mes messages, mes images etc......",1,0,0,1,0
Impossible de se connecter depuis la dernière mise à jour... Aucun SMS de confirmation,1,0,1,0,0
motivation certaine !,5,1,0,0,0
Depuis les mises à jours pas mal d erreur par exemple 15000 pas et 2 km seulement genre je fais du sur place mais sinon j adore cette appli,4,1,1,0,0
Utile pour rester en forme.,4,0,0,0,1
superbe,3,1,0,0,0
Appli parfaite !,5,1,0,0,0
Bien,5,1,0,0,0
Sympa,4,1,0,0,0
👍👍👍👍👍👍👍👍👍👍,5,1,0,0,0
Facile et pratique!,5,1,0,0,0
Ça marche plus pour le moment,1,0,1,0,0
"J'aurais bien voulu mettre une note, encore faut-il que je puisse me connecter dessus 🤷‍♀️",1,0,1,0,0
"Très déçue depuis la dernière MAJ, mes pas ne sont pas enregistrés correctement, pouvez-vous corriger ce bug ?",2,1,1,0,0
😘😘😘😘😘,5,1,0,0,0
Top,5,1,0,0,0
"Comptabilise tres mal les pas j'ai 4000 pas de différence avec une autre appli, et y a un bug avec les calorie journalière afficher",2,0,1,0,0
Super,5,1,0,0,0
Samsung Health demande un accès au téléphone depuis la dernière version. C est injustifié et bloquant si on refuse. Y a t il une explication en réponse aux nombreuses interrogations/plaintes des utilisateurs que l on peut lire ici ?,1,1,0,1,0
super,5,1,0,0,0
se serais bien de pouvoir connecter notre fitbit ou autre appareil. de plus l interface est devenu terne,3,0,0,1,0
Bonne application,4,1,0,0,0
J'adore,5,1,0,0,0
Très bien,5,1,0,0,0
j aime,5,1,0,0,0
Nule sa serre à rien,1,1,0,0,0
"La gestion du poids a récemment disparue, c'est un gros manque dans l'intérêt de l'application. Sûrement une erreur dans la dernière mise à jour. Aux développeurs, pourriez-vous le rétablir....? Merci d'avance",2,0,0,1,0
Top pour garder la forme,5,0,0,0,1
"application qui bug, compte une fois sur deux le nombre de pas effectuer dans la journée, il manque plein de ""sorte"" de nourriture et de boissons pour le calcul des calories et niveau sport il y à trop peut de variétés donc sa ne prend pas en compte tout les exercices fait à la salle ou chez soit ce qui est dommage 😒",3,0,1,1,0
je m'en sert tout les jours. j'adore,4,1,0,0,1
"Depuis la mise a jour d'août 2020 la fonction ""gestion du poid "" n'existe plus l'application n'as plus d'intérêt. Cette fonction était utile dans les cas de pertes de poids. J'espère qu'elle réapparaîtra d'ici peu sinon je vais devoir trouver une alternative.",1,0,0,1,0
Genial tout ce qu il me faut,5,1,0,0,0
"Outils attrayant Mais mise à jour décevante Pourquoi avoir retiré des fonctions très utiles J'aimais utiliser le curseur ou la jauge journalière qui tenait compte de mon activité physique et de mes apports calorique, en un coup d'oeil je savais si j'etais en avance ou en retard De plus, on a une moins bonne visibilité sur nos moyennes mensuelles, quotidiennes,... en activité, poids et en nourritures Vraiment dommage Je trouve moins utile maintenant",3,1,0,1,0
"Pas mal du tout pour les calories et pour les pas. Pour les exercices c est pas encore ça car on peut pas faire une mixe d exercices en même temps (jumeler entraînement pompe abdo traction et gainage) avec un timing que l On rentre avant (1min gainage, X pompes (Pas en temps) , X tractions (Pas en temps) et lancer l'entrainement. Mais je suis sur que ça viendra Le partage lors des défi et super. Un chat inter ami peut aider à garder le cote objectif quotidien, comme un vrai objectif.",3,1,0,1,1
"Mon interface a changé depuis hier le 05/09/2018 et depuis,pas de synchro avec runkeeper !!!est ce normal???",3,0,1,0,0
malheureusement l'application ne fait pas la distinction entre faire du vélo et marcher. À corriger.,3,0,1,0,0
Jaime car sa nous dit tous,5,1,0,0,0
bien,5,1,0,0,0
Un Bravo Pour Les Créateurs!,5,1,0,0,0
Super appli motivante avec les defis et dans montre ou quoique ce soit donc pratique,5,1,0,0,1
"La base aliment n'est pas assez complète. Sinon permet de tenir des 
objectifs.",4,0,0,1,0
"Les mises à jours sont régulières et améliorent l'application au fur et à mesure. L'interface est agréable. Il y a beaucoup de choses : sport, relaxation, sommeil, stress, conseils... Je la préfère à l'application de santé de Google.",4,1,0,0,1
"Génial! Très stimulant, cela donne envie de marcher tous les jours...",5,1,0,0,1
tres bien et facile a utiliser,5,1,0,0,0
"bonne application calcule de calories en recherchant le nom du produit ,ce qui simplifie le calcul (faut juste le grammage : ex : 58 gr plaque de chocolat (marque))et on peu rajouté nos produit si inexistant dans la liste de recherche (quand sa bug pas pour faire une recherche )",3,0,0,0,1
"Depuis la dernière mise à jour, ne compte plus les pas automatiquement. Il faut que l'écran soit allumé avec l'appli pour que ça fonctionne !",1,0,1,0,0
Appli permettant de progresser. Trés bonne application.,5,1,0,0,0
"Elle me motive, j'adore",5,1,0,0,0
"Très précise et fiable, cette application encourage à pratiquer une activité physique.",4,1,0,0,1
Application sympa et utile. après je manque d'assiduité pour noter mes repas et surtout pour noter les quantités. Peut être que de flasher les codes barre pourrait simplifier la tâche.,5,1,0,1,0
Impossible de se connecter à l'app. J'ai une montre Samsung et impossible d'utiliser G health c'est é nervant.,1,1,1,0,0
Application très utile,5,1,0,0,0
Top comme application,5,1,0,0,0
Super,5,1,0,0,0
Appli géniale.,5,1,0,0,0
Après la mise à jour l'application ne marche pas android 7.0,3,0,1,0,0
"Je suis déçue car jusqu'à la semaine dernière l application fonctionnait bien et depuis 3 ou 4 jours elle ne fonctionne plus elle ne compte plus les pas !!je pense a un bug dommage j aimais bien cette application qui était simple et juste !!et le bug recommence il faut vraiment faire quelque chose ça na va plus !! Ca a marché 2 fois et la ca recommence encore ça ne comptabilise plus les pas !!,il faudrait remédier a ce bug car c est vraiment énervant !!",3,1,1,0,0
top... parfaite pour maîtriser son alimentation. un outils utile et efficace au quotidien.,5,0,0,0,1
"Impossible depuis la dernière mise à jour de diposer de toutes les 
informations vitesse moyenne,distance...etc Jusqu'à maintenant l'appli 
était intéressante hormis mais les données lié au gps étaient erronés.",2,0,1,0,0
"Super appli, juste dommage qu'elle ne se synchronise pas avec google fit sans installer une appli payante.",4,1,0,1,0
Top,5,1,0,0,0
Application super avant les mises à jours,1,1,0,0,0
L'appli est tout simplement magnifique.,5,1,0,0,0
Genial,5,1,0,0,0
"Plutôt bien pour ce que j'en fait. Mais depuis 1 mois, elle me parle en anglais avec accent russe, alors que tout est écrit en francais. Je ne peux pas ou ne sait pas remettre la voix française . Merci de m'expliquer comment faire",4,1,1,0,0
Nul Nul,1,1,0,0,0
J'aime beaucoup,5,1,0,0,0
Impossible d'ouvrir l'application,2,0,1,0,0
"Elle fonctionne sur one plus mais oublie parfois de démarrer automatiquement, problème qui est maintenant résolu depuis 15 jours.",5,0,1,0,0
Autorisations demandées inacceptables ! Pourquoi une application de podometre devrait passer des appels ou accéder à mes contacts ?! À fuir,1,1,0,1,0
Top,5,1,0,0,0
super,5,1,0,0,0
Rien a dire,4,1,0,0,0
Dommage qu'il y a des écarts avec le comptage de ma gear...,5,0,1,0,0
J adores,5,1,0,0,0
Il n'y a plus la gestion du poid . C'était vraiment ça le plus utile pour gérer correctement...,1,0,0,1,0
"Le moniteur cardiaque ne se connecte plus à mes écouteurs. Et puis cette saleté de notification ""moniteur cardiaque activé"" qui s'affiche en plein sur le bouton démarrer de l'exercice... empêchant de démarrer avant plusieurs secondes justement...",2,0,1,0,0
Health,5,1,0,0,0
Bonne application,5,1,0,0,0
Super pour garder la forme en se donnant des défis.,5,1,0,0,1
Toooop,5,1,0,0,0
application qui permet de suivre son activité quotidienne. facile d'utilisation. je suggère deux améliorations qui permettraient un 5 étoiles : - possibilité d'ajouter une activité manuellement - trouver dans les vidéos et applications proposées des étirements après exercices pour que l'application soit complète.,4,1,0,1,1
Belle,4,1,0,0,0
"Défis tous les mois, avec objectif de 200 000 pas dans le mois, apportent motivation pour rester actif ☺️",5,0,0,0,1
"Une appli qui demande des choses facultatives OBLIGATOIRES lors de la configuration. Dès le moment où les choses sont obligées, elles ne sont plus FACULTATIVES!!! N'IMPORTE QUOI Désinstallé aussi sec !!!!!!!!!!!",1,1,0,1,0
Greaaat,5,1,0,0,0
"Allez dans l'option partage et inscrivez vous aux défis, c'est génial car vous réalisez un challenge mondial et vous pouvez voir les.photos des autres pays via les échanges avec les autres concurrents",5,0,0,0,1
Il manque fonction vélo automatique !?,4,0,0,1,0
Très motivant pour l activité sportive,4,0,0,0,1
cant use blood pressure sensor with this app samsung s9 and s10 have this sensor?please make an update to use it,1,0,0,1,0
3 fois que je réinstalle .à un moment le compteur de pas s'arrête. C'est pénible,1,0,1,0,0
Super application facile et ludique,5,1,0,0,0
"Depuis quelques temps, l'application ne m'affiche plus le parcours de mes courses à pied.",2,0,1,0,0
Vous pretendez augmenter la securite ... avec une athentification a 2... or depuis votre mise a jour impossible d acceder a mes donnees (plus de 5 ans) pr de la securite c est de la securite... on peut dire raisonnablement que Samsung LTD me bloque l acces a mes donnees de sante je compte deposer une plainte en bon et due forme contre votre societe pour vol de donnees privees,1,1,0,1,0
J'adorais cette application dont je me sers quotidiennement mais sans la gestion du poids elle devient peu utile :(,2,1,0,1,0
"Impossible de se connecter à l application après redémarrage de nos 2 téléphones et réinstallation de l appli. Après s être logué, l appli charge encore et encore mais ne s ouvre jamais..... C est super embêtant... On a également changé nos mdp et rien n y fait..",1,0,1,0,0
Application qui ne veut plus fonctionner depuis la dernière mise a jour. Elle demande l'identification sécurisée par code sécurité mais aucune possibilité d'y avoir accès,1,0,1,0,0
Depuis la derniere mise a jours l application est nul c etai bien mieux avant et beaucoup plus simple,2,1,0,0,0
Ne fonctionne plus depuis la mise à jour qui demande de mettre sont numéro de téléphone pour recevoir un code. Aucun code reçu,1,0,1,0,0
très bien merci,5,1,0,0,0
"Cette application m'était très utile, jusqu'à ce qu'elle arrête de compter 
mes pas.",3,1,1,0,0
j utilise cette application depuis 3 ans. Je l apprécie. .. peu ou pas de bugs donc ça me va,4,1,0,0,0
Parfait,5,1,0,0,0
Compteur étage ne fonctionne pas,3,0,1,0,0
top appli,5,1,0,0,0
Bien,4,1,0,0,0
👍,5,1,0,0,0
Bonjour. comment supprimer cette application? je n'en ai pas l'utilité et me prend de la place sur mon tel merci pour la réponse,1,0,0,1,0
Cool,5,1,0,0,0
Dommage ils ont supprimé la carte de parcours de marche à pied,3,0,0,1,0
Bien,4,1,0,0,0
Super application rien à dire,5,1,0,0,0
Dommage que le podomètre ne fonctionne pas.,2,0,1,0,0
Sa marche pas sur mon galaxy j5 prime,1,0,1,0,0
Cool,5,1,0,0,0
"Ne démarre pas car ""téléphone rooté"". Or mon tel n'est pas rooté!",1,0,1,0,0
"Je portais un bracelet Honor band 3, le suivi du sommeil était plutôt réaliste, les pas également. On m'a offert la galaxy watch 46 mm et là... Une catastrophe pour un système 15x plus cher... Le sommeil est complètement farfelu et les pas, je n'en parle même pas... Bref, fuyez cette montre et cette application.",1,1,1,0,1
Dommage plus possible de contrôler les pulsations cardiaques je pense que je vais quitter,4,1,0,1,0
good,5,1,0,0,0
super,5,1,0,0,0
"Bonne appli grâce à laquelle je me suis mise a marcher, une bonne habitude ca apporte plein de bienfaits ^^ Sinon très motivante avec son compteur de pas et on peut faire des defis avec nos amis c cool 😊",4,1,0,0,1
Impossible de démarrer l'application une fois installé beaucoup plus simple avant,1,0,1,0,0
top des top,4,1,0,0,0
Je préférais nettement le graphisme de la version précédente !! Quelle horreur 😱,2,1,0,1,0
Très bon application mais depuis la mise à jour des donné de confidentialité en deux étapes impossible de l ouvrir ... il demande notre numéro de téléphone il nous envoi un code et quand on valide retour à la case départ...,3,1,1,0,0
J'ai un problème de capteur de marche et entrainement récent il ne fonctionne pas,1,0,1,0,0
"Très bien, en revanche dommage que Samsung n'est toujours pas réglé le partenariat avec googlefit pour les montres connectés LG!",5,1,0,1,0
depuis la mise à jour la detection d'entraînement automatique ne fonctionne plus sur mon S8 sinon super appli,4,0,1,0,0
Je vais désinstaller l'app de mon GSM car la mise à jour m'impose un accès aux données de mon téléphone. Bye bye Samsung Health,1,1,0,1,0
Merci pour cette application,5,1,0,0,0
ce logo est très bien pour savoir comment on se sent dans sa peau.je le recommande à des personnes qui recherche ce logo.c'est un sport qui est très bon pour la santé.,5,1,0,0,1
Je suis plutôt contente de l'application sauf qu'il n'y à plus d'éléments pourle suivi des calories consommées dans la journée . Pouvez-vous la remettre?,4,1,0,1,0
Depuis la dernière mise a jour pas moyen de passer l etape de validation en 2 etapes... l application ne fonctionne plus.. comment reparer ? merci pour votre aide.,1,0,1,0,0
"L'application m'a paru intéressante mais la disparition de ""gestion du poids"" dans la dernière mise à jour est gênante et je n'arrive pas à retrouver les données dans l'historique",3,1,0,1,0
L app. refuse de marcher sur Mon telephone.,5,0,1,0,0
Nécessite la validation en 2 étapes. Direct poubelle merci,1,1,0,1,0
Impossible de me reconnecter,3,0,1,0,0
"Impossible de l'utiliser sans donner à l'application l'autorisation de passer des appels... Non merci, c'est des installé aussitôt.",1,1,0,1,0
sur le programme sommeil il ne détecte pas quand le réveil sonné et donc quand on se réveille. dommage,3,0,1,0,0
"Depuis que j'ai installé l'appli mon téléphone beug complètement. Je viens d'acheter la montre, l'appli fonctionne bien mais pour le reste du téléphone c'est la cata. Des solutions ??",2,0,1,0,0
"Bonjour. J'utilise cette application avec un Samsung A3 2017 et une gear S3. Je suis plutôt satisfait, même si je ne retrouve pas l'ensemble des exercices sur la montre (ex : impossible de lancer un entraînement ski... ) Autre demande, avoir la possibilité d'un mode sombre (fond noir) qui permettrait de limiter la consommation de l'écran..",4,0,0,1,1
La mise a jour est nul trop de beug,1,0,1,0,0
"Excellente appli. Pour le moment, je n'ai aucun des problèmes mentionnés par d'autres.",5,1,0,0,0
Très bonne application,5,1,0,0,0
Bien,5,1,0,0,0
Il manque un lecteur de code barre qui simplifierait la saisie alimentaires. Les nutriments ne sont pas systématiquement pris en compte ce qui fait que le bilan nutritionnel faux l'analyse bilan gestion de poids ne correspond pas et donne des indications qui mène direct à l'anorexie . Les bilans indiquent une surconsommation de calories mais je suis en dessous des calories consommées par rapport à mon objectif poids alors que je maigris et que je suis sous mon poids objectif!!.,3,0,0,1,0
superbe application,4,1,0,0,0
Bien,5,1,0,0,0
Je n arrivés pas du tout à me connecter avec mon portable huawei et sur ma montre galaxie Est ce normal ?,2,0,1,0,0
"Très bonne application, ça serait bien de faire en sorte qu'on puisse juste supprimer des repas ou des recettes enregistrées et de pouvoir scanner les aliments comme fitnesspal",5,1,0,1,0
👍,5,1,0,0,0
Je trouve sa assez pratique !!,5,1,0,0,0
"Super !!C'est parfois complexe d'enregistrer ses repas car elle beugue sinon elle est top!! Elle nous donne envie de nous dépasser!! De nous dépenser tout en vérifiant notre alimentation ! Elle nous permet aussi de rencontrer d'autres membres,d'autres pays! Sympa !!",5,1,0,0,1
Très bien,5,1,0,0,0
nice App it motivates you to practice sports and walking through the good health,4,1,0,0,1
"Cette Version 6 est de prime abord un peu déroutante au début. Après plusieurs semaines on s'y fait. Bien sûr elle n'est pas encore parfaite, mais elle est sur le bon chemin. Encore un effort et elle sera au top.",4,1,0,0,1
"Plutôt dessus de la mise à jour. Bug dans l'enregistrement des repas (blanc, enregistré pas etc) et les phases de soleil sans mainte'a't sans mouvement....",2,1,1,0,0
Vérifier chaque jour le nombre de pas,4,0,0,0,1
mauvaise synchronisation,2,0,1,0,0
Good,5,1,0,0,0
Impossible à paramétrer sur mon nouveau S21. Fonctionnait parfaitement sur mon ancien Samsung A70.,1,0,1,0,0
Super permet de suivre mon nombre de pas,5,1,0,0,1
Depuis la dernière mise a jour Samsung de cette nuit l application ne fonctionne plus on dirait que la mise de celle ci ne se fait pas...vraiment dommage .,1,1,1,0,0
Very good,5,1,0,0,0
De moins en moins de fonctionnalités,1,1,0,0,0
Application sympa le système du podomètre le calcul de calories perdu pour tout ce qui est cardio. 👍 En revanche pour le côté musculation c'est très bof le calcul se fait aussi avec un chrono hors la musculation fonctionne par séries et au poids soulevé.. du coup pas top du sur ce point là. a rectifié au plus vite si possible 😉👍,3,1,0,1,1
Il ne manque plus que le suivi des mensurations et l'appli sera plus que parfaite !!,5,0,0,1,0
Le top,5,1,0,0,0
"L'appli ne compte plus les pas. J'ai autorisé l'accès à mon téléphone à Samsung Health, mais l'appli ne compte toujours pas mes pas. Alors je la désinstalle. Dommage, j'aimais beaucoup l'ancienne version (je lui donnais 5 étoiles).",1,1,1,0,0
Génial cela me booste à faire des exercice comme du vélo de la marche... Grâce à cette application jai même ressortis mes vélo d'appartement et epielieptique. Je vous conseille vraiment de commencer à utiliser ce application !,5,1,0,0,1
J'utilise cette application depuis au moins 8 ans.. cette mise à jour est ridicule rien ne marche je ne sais si les développeurs l'ont tout simplement essayer!!! J'ai due désinstaller . On verra par la suite,1,1,0,0,1
"Bonjour est ce que c'est possible du faire du fractionné avec cette 
application ?",4,0,0,1,0
En quoi une application qui sert à compter mes pas. à besoin d avoir la possibilité de passer des appels. Ça devient n importe quoi la. Appli desinstallée !!! @samsung il va falloir revoir revoir votre copie et respecter la vie privée de vos usagers,1,1,0,1,0
Meme pas capable de prendre un itinéraire de marche correctement...distances de pas n'importe quoi. Bon à jeter,1,1,1,0,0
